,作品名,発言者,セリフ,nega_posi,score
0,NARUTO -ナルト-,ナルト, ...オレってばお前と違って... 絶対 火影の名前を受け継ぐんだ... 火影はオレの夢だから ,positive,0.9995623230934143
1,鋼の錬金術師,エルリック兄弟, 約束の日だ 「一は全 全は一」の答えをきこう   「全」は世界！「一」はオレ！ ,positive,0.9999110698699951
2,ONE PIECE,ルフィ, ”海賊王”に!!! おれはなるっ!!!! ,positive,0.9996190071105957
3,ちはやふる,原田先生, ”青春ぜんぶ懸けたって強くなれない”？ 懸けてから言いなさい ,negative,0.9998053908348083
4,バクマン。,真城最高&亜豆美保, 私 絶対声優になって 真城くん達のアニメにでる 素敵   だからその夢が叶ったら 結婚してください ,positive,0.9999532699584961
5,宇宙兄弟,南波日々人, 宇宙行くの夢なんだろ 諦めんなよ もし諦め切れるんなら そんなもん夢じゃねえ ,positive,0.9977269768714905
6,北斗の拳,ケンシロウ, お前は もう死んでいる! ,negative,0.9998855590820312
7,からくりサーカス,才賀勝, この世の中に生まれた者は、誰のものでもないんだよ。 誰の操り人形でもなくて... したいことは全部ちゃんと自分で選べるんだ。 ぼくらを造った神さまがいるとしたって... そんなぼくらを、もう自分の人形だなんて思わないと思う。 自分で考える物は、モノじゃない。 造ったところまでは神さまのお役目... なんの糸にも操られずに自分で立って... ちゃんと生きてちゃんと死ぬのが、ぼく達の役目だ！ ,positive,0.9987195730209351
8,ONE PIECE,シャンクス, ほう...!! おれ達を越えるのか .........じゃあ... この帽子をお前に預ける おれの大切な帽子だ いつかきっと返しに来い 立派な海賊になってな ,positive,0.9979312419891357
9,３月のライオン,桐山零, 僕は ひなたさんとの結婚を考えています だから 他人事なんかじゃ無いんです!! ,positive,0.9999477863311768
10,NARUTO -ナルト-,イタチ, 許せ サスケ... ,negative,0.6172380447387695
11,弱虫ペダル,今泉 俊輔, おまえは”1年生レースで一緒に走る”と言って 本当に追いついた ”インハイに行く”と言って 本当にそのジャージを着た 田所さんをつれてきて 今 ”ハコガクに追いつく”と言って 本当にやりとげた オレは正直走りながらも半信半疑だった... 疲弊したチームが トップに追いつくことが本当に出来るのかってな だが おまえはやりとげた!! オレはおまえを後ろから見て 改めて教えられた 思い出させてもらったよ 想いは届く!! 3日目までいくんだろ ゴール見るんだろ その言葉をうそにするなよ それでももし今走れなくなって 足が動かないつんなら オレがゴールまで全力で連れていってやる!! ,positive,0.9998754262924194
12,賭博黙示録 カイジ,利根川, 2千 1千という金はそんなに安くないっ......！ 勘違いするなっ......！ ガキめらっ......！ 金っ.........！ 金はな...... 命より重いんだっ......！ 世間の大人どもが本当のことを言わないなら オレが言ってやるっ.........！ 金は命より重い...！ そこの認識をごまかす輩は 生涯地を這う......！！ ,negative,0.9988290667533875
13,進撃の巨人,キース・シャーディス, 今回の調査で...我々は......今回も......！！ なんの成果も！！得られませんでした！！ 私が無能なばかりに...！！ ただ いたずらに兵士を死なせ...！！ ヤツらの正体を...！！突き止めることができませんでした！！ ,negative,0.999924898147583
14,３月のライオン,二海堂晴信, 「潔い」のと「投げやり」なのは似ているけど違うんだ!! ,positive,0.999414324760437
15,キングダム,政, 中華を分け隔てなく 上も下もなく 一つにする  そうすれば必ず俺の次の世は 人が人を殺さなくてすむ世界となる ,positive,0.9998953342437744
16,ONE PIECE,エース, .........!! オヤジ ...........!!! みんな......!!! そしてルフィ...... 愛してくれて.........ありがとう!!! ,positive,0.9999101161956787
17,宇宙兄弟,南波六太, 俺の敵は だいたい俺です 自分の”宇宙へ行きたい”っていう夢を さんざん邪魔して足を引っぱり続けたのは 結局 俺でした 他に敵はいません ,positive,0.9989198446273804
18,BLACK LAGOON(ブラック・ラグーン),ロック&レヴィ, ............ロック、火を貸してくれ。 火？ライターは警官がーーー 何言ってんだよ。くわえてるだろうが。 ああ！ ...ッたくよ、今日はひでえ一日だ。 まったく。 ...とにかく、帰って寝たい。 そうだな。 ,negative,0.9996891021728516
19,ちはやふる,千早, あの日悔しくて良かったって いつか笑って言いたい ,positive,0.999906063079834
20,鋼の錬金術師,エドワード・エルリック, おまえはさ... ラッシュバレーで赤ん坊取り上げて母子を救っただろ オレに立ち上がるための手と足をくれただろ おまえの手は人を殺す手じゃない 人を生かす手だ ,positive,0.9997056126594543
21,からくりサーカス,加藤鳴海, ちらちらと人形が見える。 人形使いか!? わかんねえ...でも、後ろのヤツーー 頼もしいぜ！ ,positive,0.9999514818191528
22,進撃の巨人,エレン・イェーガー, 駆逐してやる！！ この世から...一匹...残らず！！ ,negative,0.9998377561569214
23,NARUTO -ナルト-,ヒナタ, いつもナルト君を追いかけて... ...ナルト君に追いつきたくて... いつだってナルト君と一緒に歩きたくて... いつもナルト君のところへ... ナルト君が私を変えてくれた！ ナルト君の笑顔が私を救ってくれた！ だからナルト君を守るためなら死ぬことなんて怖くない！！ 私はナルト君がーー大好きだから... ,positive,0.9998016953468323
24,弱虫ペダル,小野田 坂道, 空耳か 皆さんの声がきこえる でもすいません ふり返って応えることができません もうほとんど力のこってないから ボクにできることはひとつしかないです ジャージを 皆さんに託されたこのジャージを 精一杯ゴールに届けることしかできないんです ,positive,0.9960328936576843
25,ONE PIECE,メリー, 今まで大切にしてくれて どうもありがとう ぼくは 本当に 幸せだった ,positive,0.9998977184295654
26,キングダム,政, ちょっとだけ つかまらせてもらっていいか… ……すまねェ ……気にするな 俺はもう何度もお前につかまっている ,positive,0.9986773133277893
27,賭博黙示録 カイジ,カイジ, オレは.........負けたんだ...... 敗者は失うっ...！ それをねじ曲げたら.........なにがないやらわからない...... 受け入れるべきだっ...！ 負けを受け入れることが...敗者の誇り...オレは...... 負けをぼかさないっ.........！,positive,0.999652624130249
28,宇宙兄弟,南波日々人, 世の中に”絶対”はないかもな でもダイジョウブ 俺ん中にあるから ,positive,0.9998190999031067
29,３月のライオン,宗谷冬司, ーーー気づかなかったね... 君は僕を信用しすぎだ ,negative,0.8504016995429993
30,北斗の拳,ラオウ, わが生涯に一片の悔いなし!! ,positive,0.999930739402771
